orf_id	name	start	end	strand	length
NP_009389.3	DEP1		129270	130487	D	1218
NP_009390.1	CYS3		130799	131983	D	1185
NP_009391.2	SWC3		132199	134076	D	1878
NP_009392.2	MDM10		134184	135665	R	1482
NP_009393.1	SPO7		135854	136633	D	780
NP_009394.1	FUN14		136914	137510	D	597
NP_009395.1	ERP2		137698	138345	R	648
NP_009396.2	SSA1		139503	141431	R	1929
NP_009398.1	EFB1		142174	143160	D	987
NP_009399.2	VPS8		143707	147531	D	3825
NP_009400.1	TFC3		147594	151166	R	3573
NP_009401.1	NUP60		152257	153876	D	1620
NP_009402.1	ERP1		154065	154724	R	660
NP_009403.1	SWD1		155005	156285	D	1281
NP_009404.1	RFA1		156754	158619	R	1866
NP_009405.1	SEN34		158966	159793	D	828
NP_009406.1	YAR009C		160597	164187	R	3591
NP_009407.1	YAR010C		164544	165866	R	1323
NP_009408.3	BUD14		166742	168871	R	2130
NP_009409.1	ADE1		169375	170295	D	921
NP_009410.1	KIN3		170396	171703	R	1308
NP_009411.2	CDC15		172211	175135	R	2925
NP_009412.1	PAU7		176856	177023	R	168
NP_009413.2	YAR023C		179281	179820	R	540
NP_009414.1	UIP3		183770	184477	D	708
NP_009415.1	YAR028W		184892	185596	D	705
NP_009416.1	YAR029W		186321	186545	D	225
NP_009418.1	PRM9		186836	187732	D	897
NP_009419.1	MST28		188107	188811	D	705
NP_009420.1	YAT1		190193	192256	D	2064
NP_878042.1	YAR035C-A		192337	192417	R	81
NP_009421.3	SWH1		192619	196185	D	3567
NP_009424.1	FLO1		203403	208016	D	4614
NP_009429.1	YAR064W		220198	220497	D	300
NP_009430.1	YAR066W		221049	221660	D	612
NP_009431.1	YAR068W		222406	222891	D	486
NP_009434.1	PHO11		225460	226863	D	1404
NP_009437.1	YBL113C		280	2658	R	2379
NP_009438.1	YBL112C		2582	2899	R	318
NP_009439.1	YBL111C		2907	5009	R	2103
NP_076873.1	PAU9		7605	7733	R	129
NP_009443.1	MIC23		9961	10551	R	591
NP_009444.2	SRO77		10847	13879	R	3033
NP_009445.2	PKC1		14241	17696	R	3456
NP_009446.2	SEA4		18177	21293	R	3117
NP_009447.1	RTG3		22076	23536	R	1461
NP_009448.1	SFT2		24098	24745	D	648
NP_009449.1	ECM21		24946	28299	R	3354
NP_878043.1	YBL100W-C		28427	28546	D	120
NP_009450.1	YBL100W-B		29935	35248	D	5314
NP_009451.1	YBL100W-A		29935	31251	D	1317
NP_009453.2	ATP1		37053	38690	D	1638
NP_009454.1	BNA4		39145	40527	D	1383
NP_009455.3	BRN1		40831	43095	D	2265
NP_009457.1	YBL095W		43277	44089	D	813
NP_009459.1	ROX3		44256	44918	R	663
NP_009460.1	RPL32		45978	46370	D	393
NP_009461.2	SCS22		46565	47180	R	616
NP_009462.2	MAP2		47363	48628	R	1266
NP_009463.1	MRP21		48825	49358	D	534
NP_009464.2	AVT5		49574	50953	D	1380
NP_009465.2	TEL1		51019	59382	R	8364
NP_009466.1	RPL23A		59822	60739	R	918
NP_009467.1	YBL086C		61202	62602	R	1401
NP_009468.1	BOI1		63876	66818	D	2943
NP_009469.2	CDC27		67169	69445	R	2277
NP_009471.1	ALG3		69751	71127	R	1377
NP_009472.1	YBL081W		71866	72972	D	1107
NP_009473.2	PET112		73070	74695	R	1626
NP_009474.1	NUP170		75259	79767	D	4509
NP_009475.1	ATG8		80378	80731	R	354
NP_009477.1	ILS1		81043	84261	R	3219
NP_009478.1	SSA3		84499	86448	R	1950
NP_009479.1	AAR2		86722	87789	R	1068
NP_009481.1	RPS8A		88523	89125	R	603
NP_878044.1	YBL071C-B		89458	89556	R	99
NP_660100.1	KTI11		89978	90226	D	249
NP_009484.2	AST1		90741	92030	D	1290
NP_009485.3	PRS4		92414	93394	D	981
NP_009486.3	UBP13		93639	95882	R	2244
NP_009487.2	SEF1		96669	100115	R	3447
NP_009489.1	PRX1		100371	101156	R	786
NP_009490.1	KIP1		101886	105221	D	3336
NP_009492.1	SKT5		105316	107406	R	2091
NP_009493.1	YEL1		107932	109995	D	2064
NP_031358.1	CMC2		110125	110539	R	415
NP_009494.1	YBL059W		110594	111244	D	651
NP_009495.1	SHP1		111437	112708	D	1272
NP_009496.2	PTH2		112801	113427	R	627
NP_009497.2	PTC3		113762	115168	D	1407
NP_009498.1	YBL055C		115573	116829	R	1257
NP_009499.1	TOD6		117589	119166	D	1578
NP_009501.1	SAS3		119379	121874	R	2496
NP_009502.1	PIN4		122753	124759	R	2007
NP_009503.1	SEC17		125125	126119	D	995
NP_009504.1	MOH1		126828	127244	D	417
NP_009506.1	EDE1		127895	132040	R	4146
NP_009507.1	PSY4		132424	133749	D	1326
NP_009508.1	COR1		134143	135516	R	1374
NP_009509.1	YBL044W		135998	136366	D	369
NP_009510.1	ECM13		136688	137461	D	774
NP_009511.1	FUI1		138341	140260	R	1920
NP_009512.1	PRE7		141247	141972	D	726
NP_009513.1	ERD2		142112	142868	R	757
NP_878045.1	YBL039W-B		143393	143572	D	180
NP_009514.1	URA7		143989	145728	R	1740
NP_009515.1	MRPL16		146187	146885	D	699
NP_009516.1	APL3		147209	150286	D	3078
NP_009517.1	YBL036C		150447	151220	R	774
NP_009518.1	POL12		151493	153610	R	2118
NP_009519.1	STU1		153848	158389	R	4542
NP_009520.1	RIB1		158656	159693	R	1038
NP_009521.1	HEK2		160184	161329	D	1146
NP_009522.1	SHE1		161699	162715	D	1017
NP_009523.1	PET9		163041	163997	R	957
NP_076874.1	YBL029C-A		164488	164772	R	285
NP_009524.1	YBL029W		166134	167264	D	1131
NP_009525.1	YBL028C		167518	167838	R	321
NP_009526.1	RPL19B		168423	169376	D	954
NP_009527.1	LSM2		170623	171038	D	416
NP_009528.1	RRN10		171481	171918	D	438
NP_009529.1	NCL1		172534	174588	D	2055
NP_009530.1	MCM2		174920	177526	R	2607
NP_009531.1	PIM1		177874	181275	R	3402
NP_009532.1	HAP3		181660	182094	R	435
NP_009533.1	RFT1		182401	184125	D	1725
NP_009534.1	APN2		184353	185915	D	1563
NP_009535.1	POP8		185998	186474	R	477
NP_009536.1	PEP1		186844	191583	R	4740
NP_009537.1	FUS3		192451	193512	D	1062
NP_009538.1	ACH1		194122	195702	D	1581
NP_009539.2	RRN6		199064	201748	R	2685
NP_009540.2	FMT1		202056	203261	D	1206
NP_009542.1	SCT1		203538	205817	D	2280
NP_009543.1	YBL010C		206107	206949	R	843
NP_009544.1	ALK2		207194	209224	D	2031
NP_878046.1	YBL008W-A		209409	209648	D	240
NP_009545.2	HIR1		209653	212175	D	2523
NP_009546.1	SLA1		212632	216366	R	3735
NP_009547.2	LDB7		216587	217129	R	543
NP_009548.1	PDR3		217470	220400	D	2931
NP_009549.1	YBL005W-B		221330	226598	D	5269
NP_009550.1	YBL005W-A		221330	222652	D	1323
NP_009551.2	UTP20		227636	235117	D	7482
NP_009552.1	HTA2		235394	235792	R	399
NP_009553.1	HTB2		236492	236887	D	396
NP_009554.1	ECM15		237153	237467	R	315
NP_009555.1	NTH2		238941	241283	R	2343
NP_009556.1	RER2		241708	242568	R	861
NP_009557.1	COQ1		242809	244230	D	1422
NP_009558.2	GPI18		244366	245667	R	1302
NP_009559.1	RCR1		245906	246547	D	642
NP_009560.1	UGA2		247010	248503	D	1494
NP_009561.2	DSF2		248806	251016	R	2211
NP_009562.1	FLR1		252563	254209	R	1647
NP_009563.1	HHF1		255373	255684	R	312
NP_009564.1	HHT1		256331	256741	D	411
NP_009565.1	IPP1		257112	257975	R	864
NP_009567.1	YBR012W-B		259869	265140	D	5272
NP_009568.1	YBR012W-A		259869	261191	D	1323
NP_009569.1	YBR013C		265492	265881	R	390
NP_009570.1	GRX7		266725	267336	R	612
NP_009571.1	MNN2		267710	269503	R	1794
NP_009572.1	YBR016W		270247	270633	D	387
NP_009573.1	KAP104		270947	273703	R	2757
NP_009574.1	GAL7		274427	275527	R	1101
NP_009575.1	GAL10		276253	278352	R	2100
NP_009576.1	GAL1		279021	280607	D	1587
NP_009577.1	FUR4		281443	283344	D	1902
NP_009578.1	POA1		283738	284271	D	534
NP_009579.1	CHS3		284428	287925	R	3498
NP_009580.1	SCO2		289445	290350	D	906
NP_009581.1	OLA1		290681	291865	R	1185
NP_009582.1	ETR1		292877	294019	R	1143
NP_009584.1	YPK3		294425	296002	R	1578
NP_009585.1	CDS1		296369	297742	R	1374
NP_009586.1	RKM3		298292	299950	D	1659
NP_009587.1	RPL4A		300166	301254	D	1089
NP_009589.1	EDS1		301944	304703	D	2760
NP_009590.1	HMT1		304930	305976	R	1047
NP_009591.1	PDX3		306269	306955	R	687
NP_009592.1	CSG2		309081	310313	R	1233
NP_009593.1	SCO1		310565	311452	R	888
NP_009594.1	CHS2		311898	314789	D	2892
NP_009595.1	ATP3		315575	316510	D	936
NP_009596.1	FIG1		316968	317864	D	897
NP_009597.2	FAT1		318266	320275	D	2010
NP_009598.1	CST26		320416	321609	R	1194
NP_009599.2	QDR3		321876	323945	R	2070
NP_009600.2	TCM62		324341	326059	R	1719
NP_009601.2	GIP1		328173	330092	R	1920
NP_009602.1	ZTA1		330507	331511	R	1005
NP_009603.1	FMP23		331833	332360	D	528
NP_009604.1	RPS11B		332831	333812	D	982
NP_009605.1	REB1		334386	336818	R	2433
NP_009606.1	REG2		337183	338199	R	1017
NP_009608.1	RFS1		338720	339352	R	633
NP_009609.1	YBR053C		339675	340751	R	1077
NP_009610.1	YRO2		343101	344135	D	1035
NP_009611.1	PRP6		344602	347301	R	2700
NP_009612.1	YBR056W		347879	349384	D	1506
NP_001257668.1	YBR056W-A		351255	351455	D	201
NP_009613.1	MUM2		352193	353293	R	1101
NP_009614.2	UBP14		353672	356017	R	2346
NP_116327.3	TSC3		356324	356566	R	243
NP_009615.1	AKL1		356861	360187	R	3327
NP_009616.1	ORC2		360652	362514	R	1863
NP_009617.3	TRM7		364787	365719	R	933
NP_009618.2	YBR062C		365976	366600	R	625
NP_009619.1	YBR063C		366970	368184	R	1215
NP_009621.3	ECM2		368584	369678	R	1095
NP_009622.1	NRG2		370037	370699	R	663
NP_009623.1	TIP1		372103	372735	R	633
NP_009624.4	BAP2		373861	375690	R	1830
NP_009625.1	TAT1		376574	378433	R	1860
NP_009626.1	ALG14		379221	379934	R	714
NP_009627.3	YBR071W		380411	381046	D	636
NP_009628.1	HSP26		382030	382674	D	645
NP_878048.1	YBR072C-A		382860	383021	R	162
NP_009629.6	RDH54		383112	385988	D	2877
NP_009630.3	PFF1		386286	389216	D	2931
NP_009632.2	ECM8		390227	391291	D	1065
NP_009633.3	SLM4		391805	392293	R	489
NP_009634.2	ECM33		393123	394742	D	1620
NP_009635.1	RPG1		395383	398277	R	2895
NP_009636.3	SEC18		398614	400890	R	2277
NP_009637.1	SPT7		401253	405251	R	3999
NP_009638.1	UBC4		406628	407169	R	542
NP_009639.3	TEC1		409169	410629	D	1461
NP_009640.1	MIS1		411054	413981	D	2928
NP_009641.1	RPL19A		414186	415261	R	1076
NP_009642.3	AAC3		415983	416906	D	924
NP_061491.1	YBR085C-A		418907	419164	R	258
NP_009643.2	IST2		420201	423041	R	2841
NP_009644.3	RFC5		423765	424829	D	1065
NP_009645.1	POL30		424990	425766	R	777
NP_009647.2	NHP6B		426190	426489	R	300
NP_009648.4	YBR090C		426333	427058	R	726
NP_009649.1	TIM12		427155	427484	R	330
NP_009650.1	PHO3		427698	429101	R	1404
NP_009651.3	PHO5		429548	430951	R	1404
NP_009652.2	PBY1		432036	434297	D	2262
NP_009653.2	RXT2		434406	435698	R	1293
NP_009654.3	YBR096W		436021	436713	D	693
NP_009655.2	VPS15		436951	441315	D	4365
NP_009656.2	MMS4		441515	443590	D	2076
NP_009659.3	FES1		443821	444693	R	873
NP_009660.1	EXO84		445062	447323	R	2262
NP_009661.1	SIF2		447709	449316	D	1608
NP_009662.3	YMC2		449667	450656	D	990
NP_009663.1	VID24		450881	451969	R	1089
NP_009664.1	PHO88		452658	453224	D	567
NP_009665.3	IML3		453793	454530	R	738
NP_009666.3	AIM3		454822	457665	D	2844
NP_009667.1	CMD1		457919	458362	R	444
NP_009668.3	ALG1		458872	460221	D	1350
NP_009669.1	YSA1		461178	461873	R	696
NP_878049.2	SUS1		462139	462579	D	441
NP_009670.3	CYC8		462870	465770	R	2901
NP_009672.1	RAD16		467248	469620	D	2373
NP_009673.1	LYS2		469748	473926	R	4179
NP_009675.3	TKL2		474392	476437	R	2046
NP_009676.1	TEF2		477671	479047	D	1377
NP_009677.1	MUD1		479338	480323	D	986
NP_009678.3	CBP6		480435	480923	R	489
NP_009679.2	GRS1		481364	483367	R	2004
NP_009680.2	MRPL36		483970	484503	R	534
NP_009681.3	TFC1		484742	486691	R	1950
NP_009683.1	PTC4		487199	488380	R	1182
NP_009684.1	TPS1		488905	490392	R	1488
NP_001257669.1	YBR126W-A		490850	491056	D	207
NP_009685.3	VMA2		491269	492822	R	1554
NP_009686.1	ATG14		493081	494115	R	1035
NP_009687.1	OPY1		494353	495339	R	987
NP_009688.3	SHE3		495592	496869	R	1278
NP_009689.3	CCZ1		497163	499277	D	2115
NP_009690.1	AGP2		499652	501442	R	1791
NP_009691.1	HSL7		501804	504287	R	2484
NP_009693.3	CKS1		504854	505306	D	453
NP_009694.3	MEC1		505668	512774	D	7107
NP_009695.2	YBR137W		513044	513583	D	540
NP_009696.2	YBR138C		513762	515336	R	1575
NP_009697.3	YBR139W		515664	517190	D	1527
NP_009698.3	IRA1		517350	526628	R	9279
NP_009699.2	BMT2		527025	528038	R	1014
NP_009700.1	MAK5		528317	530638	D	2322
NP_009701.3	SUP45		530869	532182	R	1314
NP_009703.3	ADH5		533762	534817	D	1056
NP_009704.1	MRPS9		535260	536096	D	837
NP_009705.1	RTC2		536575	537465	D	891
NP_009706.3	YSW1		537876	539705	D	1830
NP_009707.3	ARA1		539987	541021	D	1035
NP_009708.1	TBS1		541209	544493	R	3285
NP_009709.1	APD1		545028	545978	D	951
NP_009710.3	SPP381		546376	547251	D	876
NP_009711.3	RIB7		547460	548194	D	735
NP_009712.1	RPB5		548362	549009	R	648
NP_009713.1	CNS1		549771	550928	D	1158
NP_009714.3	SLI15		551104	553200	R	2097
NP_009715.4	ICS2		553543	554310	R	768
NP_009716.1	AMN1		556549	558198	D	1650
NP_009717.1	IFA38		558685	559728	D	1044
NP_009718.3	CDC28		560078	560974	D	897
NP_009719.3	CSH1		561634	562764	D	1131
NP_009720.1	TOS1		563203	564570	R	1368
NP_009721.1	YSY6		565231	565428	D	198
NP_009722.3	EXO5		565723	567480	D	1758
NP_009723.3	ARL1		567875	568426	R	552
NP_009724.1	UBS1		568852	569685	D	834
NP_009725.1	TYR1		569842	571200	R	1359
NP_009726.3	POP7		571468	571890	R	423
NP_009727.3	PEX32		572371	573612	D	1242
NP_009728.1	SSE2		573915	575996	R	2082
NP_009729.1	NPL4		576344	578086	R	1743
NP_009730.3	SEC66		578364	578984	D	621
NP_009731.4	SMY2		579150	581372	R	2223
NP_009732.1	UMP1		581726	582172	R	447
NP_009734.1	SWD3		582408	583355	D	948
NP_009735.3	ECM31		583720	584658	D	939
NP_009736.3	EHT1		584807	586162	R	1356
NP_009738.1	FZO1		586547	589114	R	2568
NP_009739.1	DTR1		589741	591459	D	1719
NP_009740.3	RPS6B		591712	592774	R	1063
NP_009741.3	SMP1		593506	594864	R	1359
NP_878050.1	YBR182C-A		595361	595555	R	195
NP_009742.1	YPC1		596115	597065	D	951
NP_009743.3	YBR184W		597363	598934	D	1572
NP_009744.3	MBA1		599123	599959	R	837
NP_009745.2	PCH2		600553	602360	D	1808
NP_009746.1	GDT1		602634	603476	D	843
NP_009747.3	NTC20		603685	604107	R	423
NP_009748.3	RPS9B		604508	605508	D	1001
NP_009750.1	RPL21A		606270	607140	D	871
NP_009751.1	RIM2		607652	608785	D	1134
NP_009752.3	MED8		609082	609753	R	672
NP_009753.3	AIM4		610038	610409	D	372
NP_009754.1	MSI1		610614	611882	R	1269
NP_009755.1	PGI1		612236	613900	R	1665
NP_878051.3	YBR196C-A		614024	614173	R	150
NP_878052.3	YBR196C-B		614526	614630	R	105
NP_009756.1	YBR197C		615203	615856	R	654
NP_009757.1	TAF5		616127	618523	R	2397
NP_009758.3	KTR4		618909	620303	D	1395
NP_009759.3	BEM1		620872	622527	D	1656
NP_878053.1	YBR200W-A		622983	623147	D	165
NP_009760.1	DER1		623576	624211	D	636
NP_001032571.3	YBR201C-A		624493	624696	R	204
NP_009761.4	MCM7		625772	628309	D	2538
NP_009762.2	COS111		629168	631942	D	2775
NP_009763.2	LDH1		632254	633381	R	1128
NP_009764.3	KTR3		633622	634836	D	1215
NP_009766.4	FTH1		635146	636543	D	1398
NP_009767.1	DUR1,2		636703	642210	R	5508
NP_009769.1	ERV15		645550	645978	D	429
NP_009770.3	AME1		646158	647132	R	975
NP_009771.3	NGR1		647886	649904	D	2019
NP_009772.1	MET8		650368	651192	D	825
NP_009773.1	SDS24		651415	652998	D	1584
NP_009774.4	HPC2		653356	655317	D	1962
NP_009775.3	YBP1		655576	657600	R	2025
NP_009776.1	ATG12		657832	658392	D	561
NP_009777.1	PYC2		658707	662249	R	3543
NP_009778.3	YBR219C		662499	663303	R	805
NP_009779.3	YBR220C		662995	664677	R	1683
NP_009780.1	PDB1		665153	666253	R	1101
NP_878054.1	YBR221W-A		666538	666642	D	105
NP_009781.3	PCS60		666720	668351	R	1632
NP_009782.3	TDP1		668663	670297	R	1635
NP_009784.1	YBR225W		670627	673329	D	2703
NP_009786.1	MCX1		673572	675134	R	1563
NP_009787.3	SLX1		675313	676227	D	915
NP_009788.3	ROT2		676357	679221	R	2865
NP_009789.1	OM14		679549	680050	R	502
NP_001018029.1	YBR230W-A		680362	680562	D	201
NP_009790.3	SWC5		682179	683090	R	912
NP_009792.3	PBP2		683428	684669	D	1242
NP_631876.1	DAD3		684977	685261	D	285
NP_009793.1	ARC40		685438	686592	R	1155
NP_009794.3	VHC1		686901	690263	D	3363
NP_009795.3	ABD1		690383	691693	R	1311
NP_009796.1	PRP5		691969	694518	D	2550
NP_009797.1	YBR238C		695107	697302	R	2196
NP_009798.3	ERT1		698354	699943	R	1590
NP_009799.3	THI2		700490	701842	R	1353
NP_009800.1	YBR241C		702589	704055	R	1467
NP_009801.1	YBR242W		704670	705386	D	717
NP_009802.3	ALG7		705447	706793	R	1347
NP_009803.3	GPX2		707528	708016	D	489
NP_009804.1	ISW1		708150	711539	R	3390
NP_009805.1	RRT2		711591	712754	D	1164
NP_009806.3	ENP1		713004	714455	R	1452
NP_009807.3	HIS7		714807	716465	R	1659
NP_009808.1	ARO4		716882	717994	R	1113
NP_009809.1	SPO23		719033	720604	D	1572
NP_009810.3	MRPS5		721390	722313	D	924
NP_009811.3	DUT1		722611	723054	D	444
NP_009812.1	SRB6		723270	723635	D	366
NP_009813.1	TRS20		723736	724263	R	528
NP_009814.3	MTC4		724456	726540	D	2085
NP_116328.4	YBR255C-A		726618	727074	R	457
NP_009815.1	RIB5		727386	728102	R	717
NP_009816.1	POP4		728885	729724	D	840
NP_009817.3	SHG1		729734	730162	R	429
NP_009818.3	YBR259W		730387	732453	D	2067
NP_009819.1	RGD1		732639	734639	R	2001
NP_009820.1	TAE1		734832	735530	R	699
NP_009821.3	AIM5		735720	736040	R	321
NP_009822.4	SHM1		736264	737736	D	1473
NP_009823.2	YPT10		737770	738369	R	600
NP_009824.2	TSC10		738582	739544	D	963
NP_009825.4	REI1		739841	741022	D	1182
NP_009827.3	MRPL37		741299	741616	D	318
NP_009828.2	FMP21		742160	742576	R	417
NP_009829.2	BIT2		742761	744398	R	1638
NP_009830.3	EFM2		744852	746111	D	1260
NP_009831.3	HSM3		746361	747803	R	1443
NP_009832.1	UBX7		748061	749371	R	1311
NP_009833.1	CHK1		749594	751177	D	1584
NP_009834.4	RIF1		751356	757106	R	5751
NP_009835.3	PPS1		757620	760043	R	2424
NP_009837.1	DPB3		760294	760899	D	606
NP_009838.1	PAF1		761257	762594	D	1338
NP_009839.4	SAF1		762784	764697	R	1914
NP_009840.3	DUG2		764970	767606	R	2637
NP_009841.1	MRPL27		768240	768680	D	441
NP_009842.1	SSH1		768943	770415	R	1473
NP_009843.3	YBR284W		771239	773632	D	2394
NP_009844.4	YBR285W		773922	774356	D	435
NP_009845.2	APE3		774700	776313	D	1614
NP_009846.1	YBR287W		776571	777854	D	1284
NP_009847.4	APM3		778012	779463	R	1452
NP_009848.4	SNF5		779667	782384	D	2718
NP_009849.1	BSD2		782591	783556	D	966
NP_009850.1	CTP1		783673	784572	R	900
NP_009852.3	VBA2		787006	788430	D	1425
NP_009853.3	SUL1		789235	791814	D	2580
NP_009854.2	PCA1		792849	796499	D	3651
NP_009855.1	PHO89		796798	798522	R	1725
NP_878055.3	YBR296C-A		800123	800242	R	120
NP_009856.3	MAL33		800523	801929	D	1407
NP_009857.1	MAL31		802631	804475	R	1845
NP_878056.1	YBR298C-A		805035	805256	R	222
NP_009858.3	MAL32		805351	807105	D	1755
NP_009860.3	PAU24		809057	809419	D	363
NP_009861.1	COS2		810340	811479	R	1140
NP_009863.2	GEX1		6479	8326	R	1848
NP_009864.1	VBA3		9706	11082	D	1377
NP_009865.2	YCL068C		11503	12285	R	783
NP_009866.1	HMLALPHA2		12386	13018	R	633
NP_009867.1	HMLALPHA1		13282	13809	D	528
NP_001018030.1	CHA1		15798	16880	R	1083
NP_009870.1	VAC17		17290	18561	D	1272
NP_009871.2	MRC1		18816	22106	R	3291
NP_009872.1	KRR1		22429	23379	R	951
NP_009873.1	FYV5		23523	23981	R	459
NP_001018031.2	ADF1		23584	23925	D	342
NP_065435.1	MOS1		24032	24325	R	294
NP_009874.1	PRD1		24768	26906	D	2139
NP_009875.1	PEX34		26925	27359	R	435
NP_009876.1	KAR4		27929	28936	D	1008
NP_009877.1	SPB1		31449	33974	D	2526
NP_009878.1	PBN1		34143	35393	R	1251
NP_009879.2	LRE1		35865	37616	D	1752
NP_009880.2	APA1		37836	38801	R	966
NP_009881.2	YCL049C		39786	40724	R	939
NP_001032573.1	YCL048W-A		41488	41727	D	240
NP_009882.1	SPS22		42165	43556	D	1392
NP_009883.1	POF1		43661	44437	R	777
NP_009884.1	EMC1		44623	46905	R	2283
NP_009886.1	MGR1		47111	48364	R	1254
NP_009887.1	PDI1		48653	50221	R	1569
NP_009889.2	YCL042W		50584	50943	D	360
NP_009890.1	GLK1		50838	52340	D	1503
NP_009891.1	GID7		52645	54882	D	2238
NP_009892.1	ATG22		54941	56527	R	1587
NP_009893.2	SRO9		57374	58678	R	1305
NP_009894.1	GFD2		59026	60726	D	1701
NP_009895.1	GRX1		60841	61173	R	333
NP_009896.2	LSB5		61658	62722	D	1065
NP_009897.1	MXR2		62776	63282	R	507
NP_009898.1	STE50		63441	64481	D	1041
NP_009899.1	RRP7		64675	65568	R	894
NP_009900.2	HIS4		65934	68333	R	2400
NP_009901.1	BIK1		68599	69921	R	1323
NP_009902.2	RNQ1		70150	71367	D	1218
NP_009903.2	FUS1		71803	73341	D	1539
NP_065436.1	HBN1		73405	73986	R	582
NP_009904.2	FRM2		74704	75285	R	582
NP_009905.3	AGP1		76018	77919	R	1902
NP_009907.2	KCC4		79162	82275	D	3114
NP_065437.1	YCL021W-A		83620	83997	D	378
NP_009909.2	YCL019W		85102	90415	D	5314
NP_009910.2	YCL020W		85102	86418	D	1317
NP_009911.2	LEU2		91324	92418	D	1095
NP_009912.2	NFS1		92777	94270	R	1494
NP_009913.2	DCC1		94621	95763	R	1143
NP_009914.2	BUD3		96281	101191	D	4911
NP_976246.1	YCL012C		101317	101788	R	472
NP_009916.1	GBP2		102075	103358	R	1284
NP_009917.1	SGF29		103571	104350	R	780
NP_009918.1	ILV6		104619	105548	R	930
NP_009919.3	STP22		105696	106853	R	1158
NP_958835.1	VMA9		107023	107417	D	395
NP_009922.2	LDB16		108021	108791	D	771
NP_009923.2	PGS1		109105	110670	D	1566
NP_009924.4	YCL002C		110808	111675	R	868
NP_009925.1	RER1		111916	112482	D	567
NP_009926.1	YCL001W-A		113080	113541	D	462
NP_076878.1	YCL001W-B		113770	114024	D	255
NP_009928.1	CDC10		117380	118348	R	969
NP_009929.1	MRPL32		118620	119171	D	552
NP_009930.1	YCP4		119575	120318	R	744
NP_009931.1	CIT2		120946	122328	R	1383
NP_009933.1	YCR007C		126011	126730	R	720
NP_009934.1	SAT4		128470	130281	D	1812
NP_009935.1	RVS161		130745	131542	R	798
NP_009936.1	ADY2		132273	133124	R	852
NP_009937.2	ADP1		133724	136873	R	3150
NP_009938.2	PGK1		137746	138996	D	1251
NP_009940.2	POL4		139185	140933	R	1749
NP_009941.2	YCR015C		141217	142170	R	954
NP_009942.2	YCR016W		143634	144506	D	873
NP_009943.2	CWH43		144773	147634	R	2862
NP_009944.2	SRD1		148238	148903	R	666
NP_009946.1	MAK32		152837	153928	D	1092
NP_009947.1	PET18		154012	154659	R	648
NP_009948.1	MAK31		154830	155096	R	267
NP_009949.1	HTL1		155320	155556	D	237
