orf_id	gene	length
YAR035W	YAT1	2064
YAR042W	SWH1	771
YAR044W	OSH1	2580
YAR047C	YAR047C	321
YAR050W	FLO1	4614
YAR053W	YAR053W	297
YAR060C	YAR060C	336
YAR061W	YAR061W	204
YAR062W	YAR062W	597
YAR064W	YAR064W	300
YAR066W	YAR066W	612
YAR068W	YAR068W	486
YAR069C	YAR069C	294
YAR070C	YAR070C	300
YAR071W	PHO11	1404
YAR073W	IMD1	1212
YAR075W	YAR075W	474
YBL001C	ECM15	315
YBL002W	HTB2	396
YBL003C	HTA2	399
YBL004W	YBL004W	7482
YBL005W	PDR3	2931
YBL005W-A	YBL005W-A	1323
YBL005W-B	YBL005W-B	5269
YBL006C	YBL006C	438
YBL007C	SLA1	3735
YBL008W	HIR1	2523
YBL009W	YBL009W	2031
YBL010C	YBL010C	843
YBL011W	SCT1	2280
YBL012C	YBL012C	402
YBL013W	FMT1	1182
YBL014C	RRN6	2685
YBL015W	ACH1	1581
YBL016W	FUS3	1062
YBL017C	PEP1	4740
YBL018C	POP8	477
YBL019W	APN2	1563
YBL020W	RFT1	1725
YBL021C	HAP3	435
YBL022C	PIM1	3402
YBL023C	MCM2	2607
YBL024W	NCL1	2055
YBL025W	RRN10	438
YBL026W	LSM2	416
YBL027W	RPL19B	954
YBL028C	YBL028C	321
YBL029W	YBL029W	1131
YBL030C	PET9	957
YBL031W	SHE1	1017
YBL032W	YBL032W	1146
YBL033C	RIB1	1038
YBL034C	STU1	4542
YBL035C	POL12	2118
YBL036C	YBL036C	774
YBL037W	APL3	3078
YBL038W	MRPL16	699
YBL039C	URA7	1740
YBL040C	ERD2	757
YBL041W	PRE7	726
YBL042C	FUI1	1920
YBL043W	ECM13	774
YBL044W	YBL044W	369
YBL045C	COR1	1374
YBL046W	YBL046W	1326
YBL047C	YBL047C	4146
YBL048W	YBL048W	312
YBL049W	YBL049W	417
YBL050W	SEC17	995
YBL051C	YBL051C	2007
YBL052C	SAS3	2496
YBL053W	YBL053W	375
YBL054W	YBL054W	1578
YBL055C	YBL055C	1257
YBL056W	PTC3	1407
YBL057C	YBL057C	645
YBL058W	SHP1	1272
YBL059C-A	YBL059C-A	415
YBL059W	YBL059W	651
YBL060W	YBL060W	2064
YBL061C	SKT5	2091
YBL062W	YBL062W	381
YBL063W	KIP1	3336
YBL064C	YBL064C	786
YBL065W	YBL065W	345
YBL066C	SEF1	3174
YBL067C	UBP13	2067
YBL068W	PRS4	1068
YBL069W	AST1	987
YBL070C	YBL070C	321
YBL071C	YBL071C	309
YBL072C	RPS8A	603
YBL073W	YBL073W	312
YBL074C	AAR2	1068
YBL075C	SSA3	1950
YBL076C	ILS1	3219
YBL077W	YBL077W	432
YBL078C	AUT7	354
YBL079W	NUP170	4509
YBL080C	PET112	1626
YBL081W	YBL081W	1107
YBL082C	RHK1	1377
YBL083C	YBL083C	426
YBL084C	CDC27	2277
YBL085W	BOI1	2943
YBL086C	YBL086C	1401
YBL087C	RPL23A	918
YBL088C	TEL1	8364
YBL089W	YBL089W	1530
YBL090W	MRP21	534
YBL091C	MAP2	1266
YBL091C-A	YBL091C-A	300
YBL092W	RPL32	393
YBL093C	ROX3	663
YBL094C	YBL094C	333
YBL095W	YBL095W	813
YBL096C	YBL096C	309
YBL097W	BRN1	2187
YBL098W	YBL098W	1383
YBL099W	ATP1	1638
YBL100C	YBL100C	315
YBL101C	ECM21	3354
YBL101W-A	YBL101W-A	1317
YBL101W-B	YBL101W-B	5314
YBL102W	SFT2	648
YBL103C	RTG3	1461
YBL104C	YBL104C	2778
YBL105C	PKC1	3456
YBL106C	SRO77	3033
YBL107C	YBL107C	591
YBL107W-A	YBL107W-A	105
YBL108W	YBL108W	306
YBL109W	YBL109W	336
YBL111C	YBL111C	2103
YBL112C	YBL112C	318
YBL113C	YBL113C	2379
YBR001C	NTH2	2343
YBR002C	RER2	861
YBR003W	COQ1	1422
YBR004C	YBR004C	1302
YBR005W	YBR005W	642
YBR006W	UGA5	1494
YBR007C	YBR007C	2211
YBR008C	FLR1	1647
YBR009C	HHF1	312
YBR010W	HHT1	411
YBR011C	IPP1	864
YBR012C	YBR012C	420
YBR012W-A	YBR012W-A	1323
YBR012W-B	YBR012W-B	5272
YBR013C	YBR013C	390
YBR014C	YBR014C	612
YBR015C	MNN2	1794
YBR016W	YBR016W	387
YBR017C	KAP104	2757
YBR018C	GAL7	1101
YBR019C	GAL10	2100
YBR020W	GAL1	1587
YBR021W	FUR4	1902
YBR022W	YBR022W	534
YBR023C	CHS3	3498
YBR024W	SCO2	906
YBR025C	YBR025C	1185
YBR026C	MRF1'	1143
YBR027C	YBR027C	333
YBR028C	YBR028C	1578
YBR029C	CDS1	1374
YBR030W	YBR030W	1659
YBR031W	RPL4A	1089
YBR032W	YBR032W	303
YBR033W	YBR033W	2760
YBR034C	HMT1	1047
YBR035C	PDX3	687
YBR036C	CSG2	1233
YBR037C	SCO1	888
YBR038W	CHS2	2892
YBR039W	ATP3	936
YBR040W	FIG1	897
YBR041W	FAT1	1872
YBR042C	YBR042C	1194
YBR043C	YBR043C	2070
YBR044C	TCM62	1722
YBR045C	GIP1	1722
YBR046C	ZTA1	1005
YBR047W	YBR047W	528
YBR048W	RPS11B	982
YBR049C	REB1	2433
YBR050C	REG2	1017
YBR051W	YBR051W	351
YBR052C	YBR052C	633
YBR053C	YBR053C	1077
YBR054W	YRO2	1035
YBR055C	PRP6	2700
YBR056W	YBR056W	1506
YBR057C	MUM2	1101
YBR058C	UBP14	2412
YBR058C-A	TSC3	243
YBR059C	AKL1	3327
YBR060C	ORC2	1863
YBR061C	YBR061C	933
YBR062C	YBR062C	348
YBR063C	YBR063C	1215
YBR064W	YBR064W	429
YBR065C	ECM2	1095
YBR066C	NRG2	663
YBR067C	TIP1	633
YBR068C	BAP2	1830
YBR069C	TAT1	1860
YBR070C	YBR070C	714
YBR071W	YBR071W	636
YBR072W	HSP26	645
YBR073W	RDH54	2877
YBR074W	YBR074W	1242
YBR075W	YBR075W	1383
YBR076W	ECM8	1020
YBR077C	YBR077C	489
YBR078W	ECM33	1737
YBR079C	RPG1	2895
YBR080C	SEC18	2277
YBR081C	SPT7	3999
YBR082C	UBC4	542
YBR083W	TEC1	1461
YBR084C-A	RPL19A	1076
YBR084W	MIS1	2928
YBR085C-A	YBR085C-A	258
YBR085W	AAC3	924
YBR086C	IST2	2841
YBR087W	RFC5	1065
YBR088C	POL30	777
YBR089C-A	NHP6B	300
YBR089W	YBR089W	600
YBR090C	YBR090C	726
YBR091C	MRS5	330
YBR092C	PHO3	1404
YBR093C	PHO5	1404
YBR094W	YBR094W	2262
YBR095C	YBR095C	1362
YBR096W	YBR096W	693
YBR097W	VPS15	4365
YBR098W	MMS4	1416
YBR099C	YBR099C	384
YBR100W	YBR100W	339
YBR101C	YBR101C	873
YBR102C	EXO84	2262
YBR103W	SIF2	1608
YBR104W	YMC2	990
YBR105C	VID24	1089
YBR106W	PHO88	567
YBR107C	IML3	738
YBR108W	YBR108W	2547
YBR109C	CMD1	444
YBR110W	ALG1	1350
YBR111C	YSA1	696
YBR112C	CYC8	2901
YBR113W	YBR113W	483
YBR114W	RAD16	2373
YBR115C	LYS2	4179
YBR116C	YBR116C	528
YBR117C	TKL2	2046
YBR118W	TEF2	1377
YBR119W	MUD1	986
YBR120C	CBP6	489
YBR121C	GRS1	2004
YBR122C	MRPL36	591
YBR123C	TFC1	1950
YBR124W	YBR124W	360
YBR125C	PTC4	1182
YBR126C	TPS1	1488
YBR127C	VMA2	1554
YBR128C	APG14	1035
YBR129C	OPY1	987
YBR130C	SHE3	1278
YBR131W	CCZ1	2115
YBR132C	AGP2	1791
YBR133C	HSL7	2484
YBR134W	YBR134W	402
YBR135W	CKS1	453
YBR136W	MEC1	7107
YBR137W	YBR137W	540
YBR138C	HDR1	1575
YBR139W	YBR139W	1527
YBR140C	IRA1	9279
YBR141C	YBR141C	1014
YBR142W	MAK5	2322
YBR143C	SUP45	1314
YBR144C	YBR144C	315
YBR145W	ADH5	1056
YBR146W	MRPS9	837
YBR147W	YBR147W	891
YBR148W	YSW1	1830
YBR149W	ARA1	1035
YBR150C	TBS1	3285
YBR151W	APD1	951
YBR152W	SPP381	876
YBR153W	RIB7	735
YBR154C	RPB5	648
YBR155W	CNS1	1158
YBR156C	SLI15	2097
YBR157C	ICS2	321
YBR158W	CST13	1650
YBR159W	YBR159W	1044
YBR160W	CDC28	897
YBR161W	YBR161W	1131
YBR162C	YBR162C	1368
YBR162W-A	YSY6	198
YBR163W	DEM1	1758
YBR164C	ARL1	552
YBR165W	UBS1	834
YBR166C	TYR1	1359
YBR167C	POP7	423
YBR168W	YBR168W	1242
YBR169C	SSE2	2082
YBR170C	NPL4	1743
YBR171W	SEC66	621
YBR172C	SMY2	2373
YBR173C	UMP1	447
YBR174C	YBR174C	315
YBR175W	YBR175W	948
YBR176W	ECM31	939
YBR177C	EHT1	1356
YBR178W	YBR178W	375
YBR179C	FZO1	2568
YBR180W	DTR1	1719
YBR181C	RPS6B	1063
YBR182C	SMP1	1359
YBR183W	YPC1	951
YBR184W	YBR184W	1572
YBR185C	MBA1	837
YBR186W	PCH2	1808
YBR187W	YBR187W	843
YBR188C	NTC20	423
YBR189W	RPS9B	1001
YBR190W	YBR190W	312
YBR191W	RPL21A	871
YBR192W	RIM2	1134
YBR193C	MED8	672
YBR194W	YBR194W	372
YBR195C	MSI1	1269
YBR196C	PGI1	1665
YBR197C	YBR197C	654
YBR198C	TAF90	2397
YBR199W	KTR4	1395
YBR200W	BEM1	1656
YBR201W	DER1	636
YBR202W	CDC47	2538
YBR203W	YBR203W	2775
YBR204C	YBR204C	1128
YBR205W	KTR3	1215
YBR206W	YBR206W	324
YBR207W	FTH1	1398
YBR208C	DUR1,2	5508
YBR209W	YBR209W	318
YBR210W	YBR210W	429
YBR211C	AME1	975
YBR212W	NGR1	2019
YBR213W	MET8	825
YBR214W	SDS24	1584
YBR215W	HPC2	1872
YBR216C	YBR216C	2025
YBR217W	APG12	561
YBR218C	PYC2	3543
YBR219C	YBR219C	805
YBR220C	YBR220C	1683
YBR221C	PDB1	1101
YBR222C	FAT2	1632
YBR223C	YBR223C	1635
YBR224W	YBR224W	516
YBR225W	YBR225W	2703
YBR226C	YBR226C	411
YBR227C	MCX1	1563
YBR228W	YBR228W	915
YBR229C	ROT2	2865
YBR230C	YBR230C	502
YBR231C	AOR1	912
YBR232C	YBR232C	360
YBR233W	PBP2	1242
YBR234C	ARC40	1155
YBR235W	YBR235W	3363
YBR236C	ABD1	1311
YBR237W	PRP5	2550
YBR238C	YBR238C	2196
YBR239C	YBR239C	1590
YBR240C	THI2	1353
YBR241C	YBR241C	1467
YBR242W	YBR242W	717
YBR243C	ALG7	1347
YBR244W	GPX2	489
YBR245C	ISW1	3390
YBR246W	YBR246W	1164
YBR247C	ENP1	1452
YBR248C	HIS7	1659
YBR249C	ARO4	1113
YBR250W	YBR250W	1572
YBR251W	MRPS5	924
YBR252W	DUT1	444
YBR253W	SRB6	366
YBR254C	TRS20	528
YBR255W	YBR255W	2085
YBR256C	RIB5	717
YBR257W	POP4	840
YBR258C	YBR258C	429
YBR259W	YBR259W	2067
YBR260C	RGD1	2001
YBR261C	YBR261C	699
YBR262C	YBR262C	321
YBR263W	SHM1	1698
YBR264C	YPT10	657
YBR265W	TSC10	963
YBR266C	YBR266C	453
YBR267W	YBR267W	1182
YBR268W	MRPL37	318
YBR269C	YBR269C	393
YBR270C	YBR270C	1638
YBR271W	YBR271W	1260
YBR272C	HSM3	1443
YBR273C	YBR273C	1311
YBR274W	CHK1	1584
YBR275C	RIF1	5751
YBR276C	PPS1	2424
YBR277C	YBR277C	402
YBR278W	DPB3	606
YBR279W	PAF1	1338
YBR280C	YBR280C	1929
YBR281C	YBR281C	2637
YBR282W	MRPL27	441
YBR283C	SSH1	1473
YBR284W	YBR284W	2394
YBR285W	YBR285W	435
YBR286W	APE3	1692
YBR287W	YBR287W	1284
YBR288C	APM3	1452
YBR289W	SNF5	2718
YBR290W	BSD2	966
YBR291C	CTP1	900
YBR292C	YBR292C	372
YBR293W	YBR293W	1425
YBR294W	SUL1	2580
YBR295W	PCA1	3651
YBR296C	PHO89	1725
YBR297W	MAL33	1407
YBR298C	MAL31	1845
YBR299W	MAL32	1755
YBR300C	YBR300C	498
YBR301W	YBR301W	363
YBR302C	COS2	1140
YCL001W	RER1	567
YCL001W-A	YCL001W-A	462
YCL002C	YCL002C	459
YCL004W	PGS1	1566
YCL005W	YCL005W	771
YCL007C	CWH36	393
YCL008C	STP22	891
YCL009C	ILV6	930
YCL010C	YCL010C	780
YCL011C	GBP2	1284
YCL014W	BUD3	4911
YCL016C	YCL016C	1143
YCL017C	NFS1	1494
YCL018W	LEU2	1095
YCL019W	YCL019W	5314
YCL020W	YCL020W	1317
YCL021W-A	YCL021W-A	378
YCL022C	YCL022C	516
YCL023C	YCL023C	348
YCL024W	KCC4	3114
YCL025C	AGP1	1788
YCL026C-A	FRM2	582
YCL027C-A	YCL027C-A	582
YCL027W	FUS1	1539
YCL028W	RNQ1	1218
YCL029C	BIK1	1323
YCL030C	HIS4	2400
YCL031C	RRP7	894
YCL032W	STE50	1041
YCL033C	YCL033C	507
YCL034W	YCL034W	1065
YCL035C	GRX1	333
YCL036W	YCL036W	1701
YCL037C	SRO9	1401
YCL038C	YCL038C	1587
YCL039W	YCL039W	2238
YCL040W	GLK1	1503
YCL041C	YCL041C	495
YCL042W	YCL042W	360
YCL043C	PDI1	1569
YCL044C	YCL044C	1254
YCL045C	YCL045C	2283
YCL046W	YCL046W	324
YCL047C	YCL047C	777
YCL048W	YCL048W	1392
YCL049C	YCL049C	939
YCL050C	APA1	966
YCL051W	LRE1	1752
YCL052C	PBN1	1251
YCL054W	SPB1	2526
YCL055W	KAR4	1008
YCL056C	YCL056C	435
YCL057C-A	YCL057C-A	294
YCL057W	PRD1	2139
YCL058C	YCL058C	459
YCL059C	KRR1	951
YCL061C	YCL061C	3291
YCL063W	YCL063W	1272
YCL064C	CHA1	1083
YCL065W	YCL065W	369
YCL066W	HMLALPHA1	528
YCL067C	HMLALPHA2	633
YCL068C	YCL068C	783
YCL069W	YCL069W	1377
YCL073C	YCL073C	1848
YCL074W	YCL074W	927
YCL075W	YCL075W	441
YCL076W	YCL076W	744
YCR001W	YCR001W	315
YCR002C	CDC10	969
YCR003W	MRPL32	552
YCR004C	YCP4	744
YCR005C	CIT2	1383
YCR006C	YCR006C	474
YCR007C	YCR007C	720
YCR008W	SAT4	1812
YCR009C	RVS161	798
YCR010C	YCR010C	852
YCR011C	ADP1	3150
YCR012W	PGK1	1251
YCR013C	YCR013C	648
YCR014C	POL4	1749
YCR015C	YCR015C	954
YCR016W	YCR016W	873
YCR017C	YCR017C	2862
YCR018C	SRD1	666
YCR018C-A	YCR018C-A	255
YCR019W	MAK32	1092
YCR020C	PET18	648
YCR020C-A	MAK31	267
YCR020W-B	HTL1	237
YCR021C	HSP30	999
YCR022C	YCR022C	345
YCR023C	YCR023C	1836
YCR024C	YCR024C	1479
YCR024C-A	PMP1	123
YCR025C	YCR025C	411
YCR026C	YCR026C	2229
YCR027C	RSG1	630
YCR028C	FEN2	1539
YCR028C-A	RIM1	491
YCR030C	YCR030C	2613
YCR031C	RPS14A	721
YCR032W	BPH1	6504
YCR033W	YCR033W	3681
YCR034W	FEN1	1044
YCR035C	RRP43	1185
YCR036W	RBK1	1002
YCR037C	PHO87	2772
YCR038C	BUD5	1929
YCR039C	MATALPHA2	633
YCR040W	MATALPHA1	528
YCR041W	YCR041W	333
YCR042C	TSM1	4224
YCR043C	YCR043C	384
YCR044C	PER1	1074
YCR045C	YCR045C	1476
YCR046C	IMG1	510
YCR047C	YCR047C	828
YCR048W	ARE1	1833
YCR049C	YCR049C	447
YCR050C	YCR050C	309
YCR051W	YCR051W	669
YCR052W	RSC6	1452
YCR053W	THR4	1545
YCR054C	CTR86	1692
YCR057C	PWP2	2772
YCR059C	YCR059C	777
YCR060W	YCR060W	336
YCR061W	YCR061W	1896
YCR063W	YCR063W	474
YCR064C	YCR064C	411
YCR065W	HCM1	1695
YCR066W	RAD18	1464
YCR067C	SED4	3198
YCR068W	YCR068W	1563
YCR069W	SCC3	957
YCR071C	IMG2	441
YCR072C	YCR072C	1548
YCR073C	SSK22	3996
YCR073W-A	SOL2	948
YCR075C	ERS1	783
YCR076C	YCR076C	753
YCR077C	PAT1	2391
YCR079W	YCR079W	1329
YCR081W	SRB8	4284
YCR082W	YCR082W	387
YCR083W	TRX3	384
YCR084C	TUP1	2142
YCR085W	YCR085W	354
YCR086W	YCR086W	573
YCR087C-A	YCR087C-A	462
YCR087W	YCR087W	516
YCR088W	ABP1	1779
YCR089W	FIG2	4830
YCR090C	YCR090C	549
YCR091W	KIN82	2163
YCR092C	MSH3	3144
YCR093W	CDC39	6327
YCR094W	CDC50	1176
YCR095C	YCR095C	1089
YCR096C	A2	360
YCR097W	A1	487
YCR098C	GIT1	1557
YCR099C	YCR099C	468
YCR100C	YCR100C	951
YCR101C	YCR101C	549
YCR102C	YCR102C	1107
YCR102W-A	YCR102W-A	198
YCR104W	PAU3	375
YCR105W	YCR105W	1086
YCR106W	YCR106W	2499
YCR107W	AAD3	1092
YDL001W	YDL001W	1293
YDL002C	NHP10	612
YDL003W	MCD1	1701
YDL004W	ATP16	483
YDL005C	MED2	1296
YDL006W	PTC1	846
YDL007W	RPT2	1314
YDL008W	APC11	498
YDL009C	YDL009C	324
YDL010W	YDL010W	696
YDL011C	YDL011C	324
YDL012C	YDL012C	410
YDL013W	HEX3	1860
YDL014W	NOP1	984
YDL015C	YDL015C	933
YDL016C	YDL016C	303
YDL017W	CDC7	1524
YDL018C	ERP3	678
YDL019C	YDL019C	3852
YDL020C	RPN4	1596
YDL021W	GPM2	936
YDL022W	GPD1	1176
YDL023C	YDL023C	321
YDL024C	DIA3	1407
YDL025C	YDL025C	1863
YDL026W	YDL026W	312
YDL027C	YDL027C	1263
YDL028C	MPS1	2295
YDL029W	ARP2	1299
YDL030W	PRP9	1593
YDL031W	DBP10	2988
YDL032W	YDL032W	312
YDL033C	YDL033C	1254
YDL034W	YDL034W	345
YDL035C	GPR1	2886
YDL036C	YDL036C	1389
YDL037C	YDL037C	987
YDL038C	YDL038C	1752
YDL039C	PRM7	348
YDL040C	NAT1	2565
YDL041W	YDL041W	354
YDL042C	SIR2	1689
YDL043C	PRP11	801
YDL044C	MTF2	1323
YDL045C	FAD1	921
YDL045W-A	MRP10	288
YDL046W	YDL046W	522
YDL047W	SIT4	936
YDL048C	STP4	1473
YDL049C	KNH1	807
YDL050C	YDL050C	372
YDL051W	LHP1	828
YDL052C	SLC1	912
YDL053C	YDL053C	558
YDL054C	YDL054C	1461
YDL055C	PSA1	1086
YDL056W	MBP1	2502
YDL057W	YDL057W	987
YDL058W	USO1	5373
YDL059C	RAD59	717
YDL060W	YDL060W	2367
YDL061C	RPS29B	171
YDL062W	YDL062W	426
YDL063C	YDL063C	1863
YDL064W	UBC9	584
YDL065C	PEX19	1053
YDL066W	IDP1	1287
YDL067C	COX9	180
YDL068W	YDL068W	330
YDL069C	CBS1	702
YDL070W	BDF2	1917
YDL071C	YDL071C	375
YDL072C	YDL072C	612
YDL073W	YDL073W	2955
YDL074C	BRE1	2103
YDL075W	RPL31A	763
YDL076C	YDL076C	885
YDL077C	VAM6	3150
YDL078C	MDH3	1032
YDL079C	MRK1	1798
YDL080C	THI3	1830
YDL081C	RPP1A	321
YDL082W	RPL13A	965
YDL083C	RPS16B	864
YDL084W	SUB2	1341
YDL085W	YDL085W	1638
YDL086W	YDL086W	822
YDL087C	LUC7	786
YDL088C	ASM4	1587
YDL089W	YDL089W	1455
YDL090C	RAM1	1296
YDL091C	YDL091C	1368
YDL092W	SRP14	441
YDL093W	PMT5	2232
YDL094C	YDL094C	510
YDL095W	PMT1	2454
YDL096C	YDL096C	327
YDL097C	RPN6	1305
YDL098C	SNU23	585
YDL099W	YDL099W	1026
YDL100C	YDL100C	1065
YDL101C	DUN1	1542
YDL102W	CDC2	3294
YDL103C	QRI1	1434
YDL104C	QRI7	1224
YDL105W	QRI2	1209
YDL106C	GRF10	1680
YDL107W	MSS2	1056
YDL108W	KIN28	1002
YDL109C	YDL109C	1944
YDL110C	YDL110C	453
YDL111C	RRP42	798
YDL112W	TRM3	4311
YDL113C	YDL113C	1923
YDL114W	YDL114W	927
YDL115C	YDL115C	723
YDL116W	NUP84	2181
YDL117W	CYK3	2658
YDL118W	YDL118W	381
YDL119C	YDL119C	924
YDL120W	YFH1	525
YDL121C	YDL121C	450
YDL122W	UBP1	2430
YDL123W	YDL123W	423
YDL124W	YDL124W	939
YDL125C	HNT1	588
YDL126C	CDC48	2508
YDL127W	PCL2	840
YDL128W	VCX1	1236
YDL129W	YDL129W	876
YDL130W	RPP1B	622
YDL130W-A	STF1	261
YDL131W	LYS21	1323
YDL132W	CDC53	2448
YDL133C-A	RPL41B	78
YDL133W	YDL133W	1314
YDL134C	PPH21	1110
YDL135C	RDI1	609
YDL136W	RPL35B	768
YDL137W	ARF2	546
YDL138W	RGT2	2292
YDL139C	SCM3	744
YDL140C	RPO21	5202
YDL141W	BPL1	2073
YDL142C	CRD1	852
YDL143W	CCT4	1587
YDL144C	YDL144C	1080
YDL145C	COP1	3606
YDL146W	YDL146W	1476
YDL147W	RPN5	1338
YDL148C	YDL148C	2433
YDL149W	APG9	2994
YDL150W	RPC53	1269
YDL151C	YDL151C	582
YDL152W	YDL152W	366
YDL153C	SAS10	1833
YDL154W	MSH5	2706
YDL155W	CLB3	1284
YDL156W	YDL156W	1569
YDL157C	YDL157C	357
YDL158C	YDL158C	309
YDL159W	STE7	1548
YDL160C	DHH1	1521
YDL161W	ENT1	1365
YDL162C	YDL162C	357
YDL163W	YDL163W	303
YDL164C	CDC9	2268
YDL165W	CDC36	576
YDL166C	YDL166C	594
YDL167C	NRP1	2160
YDL168W	SFA1	1161
YDL169C	UGX2	672
YDL170W	UGA3	1587
YDL171C	GLT1	6438
YDL172C	YDL172C	480
YDL173W	YDL173W	888
YDL174C	DLD1	1764
YDL175C	YDL175C	1035
YDL176W	YDL176W	2127
YDL177C	YDL177C	513
YDL178W	AIP2	1593
YDL179W	PCL9	915
YDL180W	YDL180W	1644
YDL181W	INH1	258
YDL182W	LYS20	1287
YDL183C	YDL183C	963
YDL184C	RPL41A	78
YDL185W	TFP1	3216
YDL186W	YDL186W	834
YDL187C	YDL187C	330
YDL188C	PPH22	1134
YDL189W	YDL189W	1374
YDL190C	UFD2	2886
YDL191W	RPL35A	854
YDL192W	ARF1	546
YDL193W	YDL193W	1128
YDL194W	SNF3	2655
YDL195W	SEC31	3822
YDL196W	YDL196W	330
YDL197C	ASF2	1578
YDL198C	YHM1	903
YDL199C	YDL199C	2064
YDL200C	MGT1	621
YDL201W	YDL201W	861
YDL202W	MRPL11	750
YDL203C	YDL203C	1872
YDL204W	YDL204W	1182
YDL205C	HEM3	984
YDL206W	YDL206W	2289
YDL207W	GLE1	1617
YDL208W	NHP2	522
YDL209C	YDL209C	1020
YDL210W	UGA4	1716
YDL211C	YDL211C	1119
YDL212W	SHR3	633
YDL213C	YDL213C	678
YDL214C	YDL214C	2100
YDL215C	GDH2	3279
YDL216C	YDL216C	1368
YDL217C	TIM22	624
YDL218W	YDL218W	954
YDL219W	YDL219W	524
YDL220C	CDC13	2775
YDL221W	YDL221W	552
YDL222C	YDL222C	930
YDL223C	YDL223C	3141
YDL224C	WHI4	1950
YDL225W	SHS1	1656
YDL226C	GCS1	1059
YDL227C	HO	1761
YDL228C	YDL228C	642
YDL229W	SSB1	1842
YDL230W	PTP1	1008
YDL231C	BRE4	3378
YDL232W	OST4	111
YDL233W	YDL233W	1377
YDL234C	GYP7	2241
YDL235C	YPD1	504
YDL236W	PHO13	939
YDL237W	YDL237W	1173
YDL238C	YDL238C	1470
YDL239C	YDL239C	2373
YDL240W	LRG1	3054
YDL241W	YDL241W	372
YDL242W	YDL242W	354
YDL243C	AAD4	990
YDL244W	THI13	1023
YDL245C	HXT15	1704
YDL246C	YDL246C	1074
YDL247W	YDL247W	1830
YDL248W	COS7	1152
YDR001C	NTH1	2256
YDR002W	YRB1	606
YDR003W	YDR003W	633
YDR004W	RAD57	1383
YDR005C	MAF1	1268
YDR006C	SOK1	2706
YDR007W	TRP1	675
YDR008C	YDR008C	351
YDR009W	GAL3	1563
YDR010C	YDR010C	333
